Date,Slot,Estimated_Wait_Time_Min,Estimated_Queue_Length,Zone,Zone_Density,Risk_Level,Arrival_Rate_Per_Hour,Temple_Capacity_Utilization_%
2020-01-14,18-21,11,3150,Exit Corridor,Critical,CRITICAL,3000,18.0
2020-01-14,21-24,7,1050,Parking Area,High,HIGH,1000,6.0
2020-01-15,00-03,7,1050,Entry Gate,High,HIGH,1000,6.0
2020-01-15,03-06,7,1050,Security Check,High,HIGH,1000,6.0
2020-01-15,06-09,13,4200,Holding Area,Critical,CRITICAL,4000,24.0
2020-01-15,09-12,15,5250,Darshan Queue,Critical,CRITICAL,5000,30.0
2020-01-15,12-15,11,3150,Garbh Griha Zone,Critical,CRITICAL,3000,18.0
2020-01-15,15-18,9,2100,Exit Corridor,Critical,CRITICAL,2000,12.0
2020-01-15,18-21,11,3150,Parking Area,Critical,CRITICAL,3000,18.0
2020-01-15,21-24,7,1050,Entry Gate,High,HIGH,1000,6.0
2020-01-16,00-03,7,1050,Security Check,High,HIGH,1000,6.0
2020-01-16,03-06,7,1050,Holding Area,High,HIGH,1000,6.0
2020-01-16,06-09,13,4200,Darshan Queue,Critical,CRITICAL,4000,24.0
2020-01-16,09-12,15,5250,Garbh Griha Zone,Critical,CRITICAL,5000,30.0
2020-01-16,12-15,11,3150,Exit Corridor,Critical,CRITICAL,3000,18.0
2020-01-16,15-18,9,2100,Parking Area,Critical,CRITICAL,2000,12.0
2020-01-16,18-21,11,3150,Entry Gate,Critical,CRITICAL,3000,18.0
2020-01-16,21-24,7,1050,Security Check,High,HIGH,1000,6.0
2020-01-17,00-03,7,1050,Holding Area,High,HIGH,1000,6.0
2020-01-17,03-06,7,1050,Darshan Queue,High,HIGH,1000,6.0
2020-01-17,06-09,13,4200,Garbh Griha Zone,Critical,CRITICAL,4000,24.0
2020-01-17,09-12,15,5250,Exit Corridor,Critical,CRITICAL,5000,30.0
2020-01-17,12-15,11,3150,Parking Area,Critical,CRITICAL,3000,18.0
2020-01-17,15-18,9,2100,Entry Gate,Critical,CRITICAL,2000,12.0
2020-01-17,18-21,11,3150,Security Check,Critical,CRITICAL,3000,18.0
2020-01-17,21-24,7,1050,Holding Area,High,HIGH,1000,6.0
2020-01-18,00-03,8,1312,Darshan Queue,High,HIGH,1250,7.5
2020-01-18,03-06,8,1312,Garbh Griha Zone,High,HIGH,1250,7.5
2020-01-18,06-09,15,5250,Exit Corridor,Critical,CRITICAL,5000,30.0
2020-01-18,09-12,18,6562,Parking Area,Critical,CRITICAL,6250,37.5
2020-01-18,12-15,12,3937,Entry Gate,Critical,CRITICAL,3750,22.5
2020-01-18,15-18,10,2625,Security Check,Critical,CRITICAL,2500,15.0
2020-01-18,18-21,12,3937,Holding Area,Critical,CRITICAL,3750,22.5
2020-01-18,21-24,8,1312,Darshan Queue,High,HIGH,1250,7.5
2020-01-19,00-03,8,1312,Garbh Griha Zone,High,HIGH,1250,7.5
2020-01-19,03-06,8,1312,Exit Corridor,High,HIGH,1250,7.5
2020-01-19,06-09,15,5250,Parking Area,Critical,CRITICAL,5000,30.0
2020-01-19,09-12,18,6562,Entry Gate,Critical,CRITICAL,6250,37.5
2020-01-19,12-15,12,3937,Security Check,Critical,CRITICAL,3750,22.5
2020-01-19,15-18,10,2625,Holding Area,Critical,CRITICAL,2500,15.0
2020-01-19,18-21,12,3937,Darshan Queue,Critical,CRITICAL,3750,22.5
2020-01-19,21-24,8,1312,Garbh Griha Zone,High,HIGH,1250,7.5
2020-01-20,00-03,7,1050,Exit Corridor,High,HIGH,1000,6.0
2020-01-20,03-06,7,1050,Parking Area,High,HIGH,1000,6.0
2020-01-20,06-09,13,4200,Entry Gate,Critical,CRITICAL,4000,24.0
2020-01-20,09-12,15,5250,Security Check,Critical,CRITICAL,5000,30.0
2020-01-20,12-15,11,3150,Holding Area,Critical,CRITICAL,3000,18.0
2020-01-20,15-18,9,2100,Darshan Queue,Critical,CRITICAL,2000,12.0
2020-01-20,18-21,11,3150,Garbh Griha Zone,Critical,CRITICAL,3000,18.0
2020-01-20,21-24,7,1050,Exit Corridor,High,HIGH,1000,6.0
2020-01-21,00-03,7,1050,Parking Area,High,HIGH,1000,6.0
2020-01-21,03-06,7,1050,Entry Gate,High,HIGH,1000,6.0
2020-01-21,06-09,13,4200,Security Check,Critical,CRITICAL,4000,24.0
2020-01-21,09-12,15,5250,Holding Area,Critical,CRITICAL,5000,30.0
2020-01-21,12-15,11,3150,Darshan Queue,Critical,CRITICAL,3000,18.0
2020-01-21,15-18,9,2100,Garbh Griha Zone,Critical,CRITICAL,2000,12.0
2020-01-21,18-21,11,3150,Exit Corridor,Critical,CRITICAL,3000,18.0
2020-01-21,21-24,7,1050,Parking Area,High,HIGH,1000,6.0
2020-01-22,00-03,7,1050,Entry Gate,High,HIGH,1000,6.0
2020-01-22,03-06,7,1050,Security Check,High,HIGH,1000,6.0
2020-01-22,06-09,13,4200,Holding Area,Critical,CRITICAL,4000,24.0
2020-01-22,09-12,15,5250,Darshan Queue,Critical,CRITICAL,5000,30.0
2020-01-22,12-15,11,3150,Garbh Griha Zone,Critical,CRITICAL,3000,18.0
2020-01-22,15-18,9,2100,Exit Corridor,Critical,CRITICAL,2000,12.0
2020-01-22,18-21,11,3150,Parking Area,Critical,CRITICAL,3000,18.0
2020-01-22,21-24,7,1050,Entry Gate,High,HIGH,1000,6.0
2020-01-23,00-03,7,1050,Security Check,High,HIGH,1000,6.0
2020-01-23,03-06,7,1050,Holding Area,High,HIGH,1000,6.0
2020-01-23,06-09,13,4200,Darshan Queue,Critical,CRITICAL,4000,24.0
2020-01-23,09-12,15,5250,Garbh Griha Zone,Critical,CRITICAL,5000,30.0
2020-01-23,12-15,11,3150,Exit Corridor,Critical,CRITICAL,3000,18.0
2020-01-23,15-18,9,2100,Parking Area,Critical,CRITICAL,2000,12.0
2020-01-23,18-21,11,3150,Entry Gate,Critical,CRITICAL,3000,18.0
2020-01-23,21-24,7,1050,Security Check,High,HIGH,1000,6.0
2020-01-24,00-03,7,1050,Holding Area,High,HIGH,1000,6.0
2020-01-24,03-06,7,1050,Darshan Queue,High,HIGH,1000,6.0
2020-01-24,06-09,13,4200,Garbh Griha Zone,Critical,CRITICAL,4000,24.0
2020-01-24,09-12,15,5250,Exit Corridor,Critical,CRITICAL,5000,30.0
2020-01-24,12-15,11,3150,Parking Area,Critical,CRITICAL,3000,18.0
2020-01-24,15-18,9,2100,Entry Gate,Critical,CRITICAL,2000,12.0
2020-01-24,18-21,11,3150,Security Check,Critical,CRITICAL,3000,18.0
2020-01-24,21-24,7,1050,Holding Area,High,HIGH,1000,6.0
2020-01-25,00-03,8,1312,Darshan Queue,High,HIGH,1250,7.5
2020-01-25,03-06,8,1312,Garbh Griha Zone,High,HIGH,1250,7.5
2020-01-25,06-09,15,5250,Exit Corridor,Critical,CRITICAL,5000,30.0
2020-01-25,09-12,18,6562,Parking Area,Critical,CRITICAL,6250,37.5
2020-01-25,12-15,12,3937,Entry Gate,Critical,CRITICAL,3750,22.5
2020-01-25,15-18,10,2625,Security Check,Critical,CRITICAL,2500,15.0
2020-01-25,18-21,12,3937,Holding Area,Critical,CRITICAL,3750,22.5
2020-01-25,21-24,8,1312,Darshan Queue,High,HIGH,1250,7.5
2020-01-26,00-03,8,1312,Garbh Griha Zone,High,HIGH,1250,7.5
2020-01-26,03-06,8,1312,Exit Corridor,High,HIGH,1250,7.5
2020-01-26,06-09,15,5250,Parking Area,Critical,CRITICAL,5000,30.0
2020-01-26,09-12,18,6562,Entry Gate,Critical,CRITICAL,6250,37.5
2020-01-26,12-15,12,3937,Security Check,Critical,CRITICAL,3750,22.5
2020-01-26,15-18,10,2625,Holding Area,Critical,CRITICAL,2500,15.0
2020-01-26,18-21,12,3937,Darshan Queue,Critical,CRITICAL,3750,22.5
2020-01-26,21-24,8,1312,Garbh Griha Zone,High,HIGH,1250,7.5
2020-01-27,00-03,7,1050,Exit Corridor,High,HIGH,1000,6.0
2020-01-27,03-06,7,1050,Parking Area,High,HIGH,1000,6.0
2020-01-27,06-09,13,4200,Entry Gate,Critical,CRITICAL,4000,24.0
2020-01-27,09-12,15,5250,Security Check,Critical,CRITICAL,5000,30.0
2020-01-27,12-15,11,3150,Holding Area,Critical,CRITICAL,3000,18.0
2020-01-27,15-18,9,2100,Darshan Queue,Critical,CRITICAL,2000,12.0
2020-01-27,18-21,11,3150,Garbh Griha Zone,Critical,CRITICAL,3000,18.0
2020-01-27,21-24,7,1050,Exit Corridor,High,HIGH,1000,6.0
2020-01-28,00-03,7,1050,Parking Area,High,HIGH,1000,6.0
2020-01-28,03-06,7,1050,Entry Gate,High,HIGH,1000,6.0
2020-01-28,06-09,13,4200,Security Check,Critical,CRITICAL,4000,24.0
2020-01-28,09-12,15,5250,Holding Area,Critical,CRITICAL,5000,30.0
2020-01-28,12-15,11,3150,Darshan Queue,Critical,CRITICAL,3000,18.0
2020-01-28,15-18,9,2100,Garbh Griha Zone,Critical,CRITICAL,2000,12.0
2020-01-28,18-21,11,3150,Exit Corridor,Critical,CRITICAL,3000,18.0
2020-01-28,21-24,7,1050,Parking Area,High,HIGH,1000,6.0
2020-01-29,00-03,7,1050,Entry Gate,High,HIGH,1000,6.0
2020-01-29,03-06,7,1050,Security Check,High,HIGH,1000,6.0
2020-01-29,06-09,13,4200,Holding Area,Critical,CRITICAL,4000,24.0
2020-01-29,09-12,15,5250,Darshan Queue,Critical,CRITICAL,5000,30.0
2020-01-29,12-15,11,3150,Garbh Griha Zone,Critical,CRITICAL,3000,18.0
2020-01-29,15-18,9,2100,Exit Corridor,Critical,CRITICAL,2000,12.0
2020-01-29,18-21,11,3150,Parking Area,Critical,CRITICAL,3000,18.0
2020-01-29,21-24,7,1050,Entry Gate,High,HIGH,1000,6.0
2020-01-30,00-03,7,1050,Security Check,High,HIGH,1000,6.0
2020-01-30,03-06,7,1050,Holding Area,High,HIGH,1000,6.0
2020-01-30,06-09,13,4200,Darshan Queue,Critical,CRITICAL,4000,24.0
2020-01-30,09-12,15,5250,Garbh Griha Zone,Critical,CRITICAL,5000,30.0
2020-01-30,12-15,11,3150,Exit Corridor,Critical,CRITICAL,3000,18.0
2020-01-30,15-18,9,2100,Parking Area,Critical,CRITICAL,2000,12.0
2020-01-30,18-21,11,3150,Entry Gate,Critical,CRITICAL,3000,18.0
2020-01-30,21-24,7,1050,Security Check,High,HIGH,1000,6.0
2020-01-31,00-03,7,1050,Holding Area,High,HIGH,1000,6.0
2020-01-31,03-06,7,1050,Darshan Queue,High,HIGH,1000,6.0
2020-01-31,06-09,13,4200,Garbh Griha Zone,Critical,CRITICAL,4000,24.0
2020-01-31,09-12,15,5250,Exit Corridor,Critical,CRITICAL,5000,30.0
2020-01-31,12-15,11,3150,Parking Area,Critical,CRITICAL,3000,18.0
2020-01-31,15-18,9,2100,Entry Gate,Critical,CRITICAL,2000,12.0
2020-01-31,18-21,11,3150,Security Check,Critical,CRITICAL,3000,18.0
2020-01-31,21-24,7,1050,Holding Area,High,HIGH,1000,6.0
2020-02-01,00-03,8,1312,Darshan Queue,High,HIGH,1250,7.5
2020-02-01,03-06,8,1312,Garbh Griha Zone,High,HIGH,1250,7.5
2020-02-01,06-09,15,5250,Exit Corridor,Critical,CRITICAL,5000,30.0
2020-02-01,09-12,18,6562,Parking Area,Critical,CRITICAL,6250,37.5
2020-02-01,12-15,12,3937,Entry Gate,Critical,CRITICAL,3750,22.5
2020-02-01,15-18,10,2625,Security Check,Critical,CRITICAL,2500,15.0
2020-02-01,18-21,12,3937,Holding Area,Critical,CRITICAL,3750,22.5
2020-02-01,21-24,8,1312,Darshan Queue,High,HIGH,1250,7.5
2020-02-02,00-03,8,1312,Garbh Griha Zone,High,HIGH,1250,7.5
2020-02-02,03-06,8,1312,Exit Corridor,High,HIGH,1250,7.5
2020-02-02,06-09,15,5250,Parking Area,Critical,CRITICAL,5000,30.0
2020-02-02,09-12,18,6562,Entry Gate,Critical,CRITICAL,6250,37.5
2020-02-02,12-15,12,3937,Security Check,Critical,CRITICAL,3750,22.5
2020-02-02,15-18,10,2625,Holding Area,Critical,CRITICAL,2500,15.0
2020-02-02,18-21,12,3937,Darshan Queue,Critical,CRITICAL,3750,22.5
2020-02-02,21-24,8,1312,Garbh Griha Zone,High,HIGH,1250,7.5
2020-02-03,00-03,7,1050,Exit Corridor,High,HIGH,1000,6.0
2020-02-03,03-06,7,1050,Parking Area,High,HIGH,1000,6.0
2020-02-03,06-09,13,4200,Entry Gate,Critical,CRITICAL,4000,24.0
2020-02-03,09-12,15,5250,Security Check,Critical,CRITICAL,5000,30.0
2020-02-03,12-15,11,3150,Holding Area,Critical,CRITICAL,3000,18.0
2020-02-03,15-18,9,2100,Darshan Queue,Critical,CRITICAL,2000,12.0
2020-02-03,18-21,11,3150,Garbh Griha Zone,Critical,CRITICAL,3000,18.0
2020-02-03,21-24,7,1050,Exit Corridor,High,HIGH,1000,6.0
2020-02-04,00-03,7,1050,Parking Area,High,HIGH,1000,6.0
2020-02-04,03-06,7,1050,Entry Gate,High,HIGH,1000,6.0
2020-02-04,06-09,13,4200,Security Check,Critical,CRITICAL,4000,24.0
2020-02-04,09-12,15,5250,Holding Area,Critical,CRITICAL,5000,30.0
2020-02-04,12-15,11,3150,Darshan Queue,Critical,CRITICAL,3000,18.0
2020-02-04,15-18,9,2100,Garbh Griha Zone,Critical,CRITICAL,2000,12.0
2020-02-04,18-21,11,3150,Exit Corridor,Critical,CRITICAL,3000,18.0
2020-02-04,21-24,7,1050,Parking Area,High,HIGH,1000,6.0
2020-02-05,00-03,7,1050,Entry Gate,High,HIGH,1000,6.0
2020-02-05,03-06,7,1050,Security Check,High,HIGH,1000,6.0
2020-02-05,06-09,13,4200,Holding Area,Critical,CRITICAL,4000,24.0
2020-02-05,09-12,15,5250,Darshan Queue,Critical,CRITICAL,5000,30.0
2020-02-05,12-15,11,3150,Garbh Griha Zone,Critical,CRITICAL,3000,18.0
2020-02-05,15-18,9,2100,Exit Corridor,Critical,CRITICAL,2000,12.0
2020-02-05,18-21,11,3150,Parking Area,Critical,CRITICAL,3000,18.0
2020-02-05,21-24,7,1050,Entry Gate,High,HIGH,1000,6.0
2020-02-06,00-03,7,1050,Security Check,High,HIGH,1000,6.0
2020-02-06,03-06,7,1050,Holding Area,High,HIGH,1000,6.0
2020-02-06,06-09,13,4200,Darshan Queue,Critical,CRITICAL,4000,24.0
2020-02-06,09-12,15,5250,Garbh Griha Zone,Critical,CRITICAL,5000,30.0
2020-02-06,12-15,11,3150,Exit Corridor,Critical,CRITICAL,3000,18.0
2020-02-06,15-18,9,2100,Parking Area,Critical,CRITICAL,2000,12.0
2020-02-06,18-21,11,3150,Entry Gate,Critical,CRITICAL,3000,18.0
2020-02-06,21-24,7,1050,Security Check,High,HIGH,1000,6.0
2020-02-07,00-03,7,1050,Holding Area,High,HIGH,1000,6.0
2020-02-07,03-06,7,1050,Darshan Queue,High,HIGH,1000,6.0
2020-02-07,06-09,13,4200,Garbh Griha Zone,Critical,CRITICAL,4000,24.0
2020-02-07,09-12,15,5250,Exit Corridor,Critical,CRITICAL,5000,30.0
2020-02-07,12-15,11,3150,Parking Area,Critical,CRITICAL,3000,18.0
2020-02-07,15-18,9,2100,Entry Gate,Critical,CRITICAL,2000,12.0
2020-02-07,18-21,11,3150,Security Check,Critical,CRITICAL,3000,18.0
2020-02-07,21-24,7,1050,Holding Area,High,HIGH,1000,6.0
2020-02-08,00-03,8,1312,Darshan Queue,High,HIGH,1250,7.5
2020-02-08,03-06,8,1312,Garbh Griha Zone,High,HIGH,1250,7.5
2020-02-08,06-09,15,5250,Exit Corridor,Critical,CRITICAL,5000,30.0
2020-02-08,09-12,18,6562,Parking Area,Critical,CRITICAL,6250,37.5
2020-02-08,12-15,12,3937,Entry Gate,Critical,CRITICAL,3750,22.5
2020-02-08,15-18,10,2625,Security Check,Critical,CRITICAL,2500,15.0
2020-02-08,18-21,12,3937,Holding Area,Critical,CRITICAL,3750,22.5
2020-02-08,21-24,8,1312,Darshan Queue,High,HIGH,1250,7.5
2020-02-09,00-03,8,1312,Garbh Griha Zone,High,HIGH,1250,7.5
2020-02-09,03-06,8,1312,Exit Corridor,High,HIGH,1250,7.5
2020-02-09,06-09,15,5250,Parking Area,Critical,CRITICAL,5000,30.0
2020-02-09,09-12,18,6562,Entry Gate,Critical,CRITICAL,6250,37.5
2020-02-09,12-15,12,3937,Security Check,Critical,CRITICAL,3750,22.5
2020-02-09,15-18,10,2625,Holding Area,Critical,CRITICAL,2500,15.0
2020-02-09,18-21,12,3937,Darshan Queue,Critical,CRITICAL,3750,22.5
2020-02-09,21-24,8,1312,Garbh Griha Zone,High,HIGH,1250,7.5
2020-02-10,00-03,7,1050,Exit Corridor,High,HIGH,1000,6.0
2020-02-10,03-06,7,1050,Parking Area,High,HIGH,1000,6.0
2020-02-10,06-09,13,4200,Entry Gate,Critical,CRITICAL,4000,24.0
2020-02-10,09-12,15,5250,Security Check,Critical,CRITICAL,5000,30.0
2020-02-10,12-15,11,3150,Holding Area,Critical,CRITICAL,3000,18.0
2020-02-10,15-18,9,2100,Darshan Queue,Critical,CRITICAL,2000,12.0
2020-02-10,18-21,11,3150,Garbh Griha Zone,Critical,CRITICAL,3000,18.0
2020-02-10,21-24,7,1050,Exit Corridor,High,HIGH,1000,6.0
2020-02-11,00-03,7,1050,Parking Area,High,HIGH,1000,6.0
2020-02-11,03-06,7,1050,Entry Gate,High,HIGH,1000,6.0
2020-02-11,06-09,13,4200,Security Check,Critical,CRITICAL,4000,24.0
2020-02-11,09-12,15,5250,Holding Area,Critical,CRITICAL,5000,30.0
2020-02-11,12-15,11,3150,Darshan Queue,Critical,CRITICAL,3000,18.0
2020-02-11,15-18,9,2100,Garbh Griha Zone,Critical,CRITICAL,2000,12.0
2020-02-11,18-21,11,3150,Exit Corridor,Critical,CRITICAL,3000,18.0
2020-02-11,21-24,7,1050,Parking Area,High,HIGH,1000,6.0
2020-02-12,00-03,7,1050,Entry Gate,High,HIGH,1000,6.0
2020-02-12,03-06,7,1050,Security Check,High,HIGH,1000,6.0
2020-02-12,06-09,13,4200,Holding Area,Critical,CRITICAL,4000,24.0
2020-02-12,09-12,15,5250,Darshan Queue,Critical,CRITICAL,5000,30.0
2020-02-12,12-15,11,3150,Garbh Griha Zone,Critical,CRITICAL,3000,18.0
2020-02-12,15-18,9,2100,Exit Corridor,Critical,CRITICAL,2000,12.0
2020-02-12,18-21,11,3150,Parking Area,Critical,CRITICAL,3000,18.0
2020-02-12,21-24,7,1050,Entry Gate,High,HIGH,1000,6.0
2020-02-13,00-03,7,1050,Security Check,High,HIGH,1000,6.0
2020-02-13,03-06,7,1050,Holding Area,High,HIGH,1000,6.0
2020-02-13,06-09,13,4200,Darshan Queue,Critical,CRITICAL,4000,24.0
